word,masked,category,difficulty,sheet,index,row,col,icon,status
"miód","mi_d","u/ó","1","sheets/u-o.svg","0","0","0","🍯","temp-candidate"
"dół","d_ł","u/ó","1","sheets/u-o.svg","1","0","1","⬇️","temp-candidate"
"ból","b_l","u/ó","1","sheets/u-o.svg","2","0","2","🤕","temp-candidate"
"sól","s_l","u/ó","1","sheets/u-o.svg","3","0","3","🧂","temp-candidate"
"kółko","k_łko","u/ó","1","sheets/u-o.svg","4","0","4","⭕","temp-candidate"
"późno","p_źno","u/ó","1","sheets/u-o.svg","5","0","5","🌙","temp-candidate"
"później","p_źniej","u/ó","2","sheets/u-o.svg","6","1","0","⏩","temp-candidate"
"późny","p_źny","u/ó","1","sheets/u-o.svg","7","1","1","⏰","temp-candidate"
"próba","pr_ba","u/ó","1","sheets/u-o.svg","8","1","2","🧪","temp-candidate"
"próżny","pr_żny","u/ó","1","sheets/u-o.svg","9","1","3","📭","temp-candidate"
"równo","r_wno","u/ó","1","sheets/u-o.svg","10","1","4","⚖️","temp-candidate"
"równy","r_wny","u/ó","1","sheets/u-o.svg","11","1","5","📏","temp-candidate"
"różny","r_żny","u/ó","1","sheets/u-o.svg","12","2","0","🔀","temp-candidate"
"różnica","r_żnica","u/ó","2","sheets/u-o.svg","13","2","1","🔍","temp-candidate"
"sposób","spos_b","u/ó","1","sheets/u-o.svg","14","2","2","🧭","temp-candidate"
"który","kt_ry","u/ó","1","sheets/u-o.svg","15","2","3","❓","temp-candidate"
"mój","m_j","u/ó","1","sheets/u-o.svg","16","2","4","🙋","temp-candidate"
"twój","tw_j","u/ó","1","sheets/u-o.svg","17","2","5","👉","temp-candidate"
"swój","sw_j","u/ó","1","sheets/u-o.svg","18","3","0","🫶","temp-candidate"
"mówić","m_wić","u/ó","1","sheets/u-o.svg","19","3","1","🗣️","temp-candidate"
"wrócić","wr_cić","u/ó","1","sheets/u-o.svg","20","3","2","↩️","temp-candidate"
"wójt","w_jt","u/ó","2","sheets/u-o.svg","21","3","3","🏛️","temp-candidate"
"włókno","wł_kno","u/ó","2","sheets/u-o.svg","22","3","4","🧶","temp-candidate"
"krótki","kr_tki","u/ó","1","sheets/u-o.svg","23","3","5","↔️","temp-candidate"
"krótko","kr_tko","u/ó","1","sheets/u-o.svg","24","4","0","⚡","temp-candidate"
"skrót","skr_t","u/ó","1","sheets/u-o.svg","25","4","1","✂️","temp-candidate"
"obrót","obr_t","u/ó","1","sheets/u-o.svg","26","4","2","🔄","temp-candidate"
"powrót","powr_t","u/ó","1","sheets/u-o.svg","27","4","3","↩️","temp-candidate"
"wybór","wyb_r","u/ó","1","sheets/u-o.svg","28","4","4","↔️","temp-candidate"
"zbiór","zbi_r","u/ó","1","sheets/u-o.svg","29","4","5","🧺","temp-candidate"
"utwór","utw_r","u/ó","1","sheets/u-o.svg","30","5","0","🎵","temp-candidate"
"twórca","tw_rca","u/ó","1","sheets/u-o.svg","31","5","1","🎨","temp-candidate"
"szczegół","szczeg_ł","u/ó","2","sheets/u-o.svg","32","5","2","🔎","temp-candidate"
"ogół","og_ł","u/ó","1","sheets/u-o.svg","33","5","3","👥","temp-candidate"
"wspólny","wsp_lny","u/ó","2","sheets/u-o.svg","34","5","4","🤝","temp-candidate"
"główny","gł_wny","u/ó","1","sheets/u-o.svg","35","5","5","⭐","temp-candidate"
"głód","gł_d","u/ó","1","sheets/u-o.svg","36","6","0","🍽️","temp-candidate"
"próg","pr_g","u/ó","1","sheets/u-o.svg","37","6","1","🚪","temp-candidate"
"wzór","wz_r","u/ó","1","sheets/u-o.svg","38","6","2","🧩","temp-candidate"
"kłótnia","kł_tnia","u/ó","2","sheets/u-o.svg","39","6","3","💢","temp-candidate"
"kura","k_ra","u/ó","1","sheets/u-o.svg","40","6","4","🐔","temp-candidate"
"kula","k_la","u/ó","1","sheets/u-o.svg","41","6","5","⚽","temp-candidate"
"urząd","_rząd","u/ó","2","sheets/u-o.svg","42","7","0","🏢","temp-candidate"
"umyć","_myć","u/ó","1","sheets/u-o.svg","43","7","1","🧼","temp-candidate"
"umieć","_mieć","u/ó","1","sheets/u-o.svg","44","7","2","💡","temp-candidate"
"układ","_kład","u/ó","2","sheets/u-o.svg","45","7","3","🧩","temp-candidate"
"ukryć","_kryć","u/ó","1","sheets/u-o.svg","46","7","4","🙈","temp-candidate"
"buda","b_da","u/ó","1","sheets/u-o.svg","47","7","5","🐕","temp-candidate"
"budzik","b_dzik","u/ó","1","sheets/u-o.svg","48","8","0","⏰","temp-candidate"
"murawa","m_rawa","u/ó","1","sheets/u-o.svg","49","8","1","🌱","temp-candidate"
"duży","d_ży","u/ó","1","sheets/u-o.svg","50","8","2","🐘","temp-candidate"
